0, i want to fly from boston at 838 am and arrive in denver at 1110 in the morning
1, what flights are available from pittsburgh to baltimore on thursday morning
2, what is the arrival time in san francisco for the 755 am flight leaving washington
3, cheapest airfare from tacoma to orlando
4, round trip fares from pittsburgh to philadelphia under 1000 dollars
5, i need a flight tomorrow from columbus to minneapolis
6, what kind of aircraft is used on a flight from cleveland to dallas
7, show me the flights from pittsburgh to los angeles on thursday
8, all flights from boston to washington
9, what kind of ground transportation is available in denver
10, show me the flights from dallas to san francisco
11, show me the flights from san diego to newark by way of houston
12, what's the airport at orlando
13, what is the cheapest flight from boston to bwi
14, all flights to baltimore after 6 pm
15, show me the first class fares from boston to denver
16, show me the ground transportation in denver
17, all flights from denver to pittsburgh leaving after 6 pm and before 7 pm
18, i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore
19, please give me the flights from boston to pittsburgh on thursday of next week
20, i would like to fly from denver to pittsburgh on united airlines
21, show me the flights from san diego to newark
22, please list all first class flights on united from denver to baltimore
23, what kinds of planes are used by american airlines
24, i'd like to have some information on a ticket from denver to pittsburgh and atlanta
25, i'd like to book a flight from atlanta to denver
26, which airline serves denver pittsburgh and atlanta
27, show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm
28, atlanta ground transportation
29, i also need service from dallas to boston arriving by noon
30, show me the cheapest round trip fare from baltimore to dallas
31, show me all flights from new york to milwaukee on northwest airlines departing at 720 am
32, flights from new york to miami
33, please find a flight on delta from philadelphia to san francisco and give me the flight numbers
34, i need a flight from dallas to san francisco
35, fares and flights from pittsburgh to philadelphia
36, show me the airlines with first class flights
37, what are the flights from st. louis to burbank sunday evening
38, i'd like to arrange a flight from pittsburgh to atlanta
39, show flights from baltimore to san francisco between 6 pm and 8 pm on friday
40, how far is it from orlando airport to orlando
41, i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december
42, which airline has the most arrivals in atlanta
43, what airlines fly from new york to milwaukee to los angeles
44, pittsburgh to denver
