Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
50057,B000ER5DFQ,A1ESDLEDR9Y0JX,A. Spencer,1,2,1,1310256000,the garbanzo beans in it give horrible gas,To be fair only one of my twins got gas from this but it was horrible. Up all night screaming from gas pains. Garbanzo beans are not an ideal food for young babies.
366917,B001AIQP8M,A324KM3YY1DWQG,danitrice,0,0,5,1251072000,Yummy Lil' Treasures!!,Just recieved our first order of these (they don't carry them around us)...they are a big hit with the little ones and myself...definitely worthy of a try!!
214380,B001E5E1XW,A3QCWO53N69HW3,"M. A. Vaughan ""-_-GOBNOGO-_-""",2,2,5,1276473600,Great Chai,"This is a fantastic Chai Masala. I am very picky when it comes to tea but love this one. It is very strong, so if you a sensitive to caffeine beware. I usually have it with plenty of agave and it comes out wonderful - a great way to start the morning."
178476,B000TIZP5I,AYZ5NG9705AG1,Consumer,0,0,5,1341360000,Celtic Salt worth extra price,"Flavorful and has added nutrition!  You use less than regular salt.  It brings out flavor of food.  In salads, I just use some Celtic salt and let it sit for a little while and it brings out the juices from contents."
542504,B000E18CVE,A2LMWCJUF5HZ4Z,"Miki Lam ""mikilam""",8,11,3,1222732800,mixed feelings,"I thought this soup tasted good. I liked the taste and although it's a little complicated to prepare, overall I felt it was flavorful and filling. I feel that the packaging is a bit deceptive though. You are supposed to soak the noodles for a moment then drain, then add two different packets - one with a concentrated flavor sauce and the other with dried veggies and other flavorings. Add more water, cover and cook in microwave for about 1 min. On the surface this is a one serving, biodegradable bowl... BUT the packaging says there are 2 servings per bowl... so the 730 grams of sodium is really 1460 for one meal. tsk, tsk tsk. I think they should have either made the bowl or the serving smaller OR made the label read it as one serving with the true amount of sodium you'll get when you eat this for a meal. I tried separating it in to halves... it's not that easy, and besides.... where would you store the other half?  I guess you could just make the whole thing and throw away the other half, but seems like a waste. I think I won't any more for those reasons, but I might change my mind.IT was quite convenient and tasty dispite it all. decisions, decisions."
422005,B002OVICJO,A6WZ2LI0JT9E4,"Tom B ""handydandy""",2,2,5,1168732800,Kitties FLIP for these!,"Our cat Max has a morning routine.  He goes into the kitchen and stands by the counter where these chicken treats are kept, and stares up at it until one of us gives him some.  Then he dances around while he devours the morsels.  If we don't come into the kitchen quick enough, say on a weekend, he'll come and find us and meow unitl we stand up, walk into the other room with him, and give him some.<br /><br />My wife and I have no idea why this is so addictive.  It has no particular smell, no special ingredients that we can figure.  My wife even tasted one of them, and found it to be very bland.<br /><br />But the kitsers LOVE it!  Dunno why, but we keep it handy.  And by the way, other flavors don't seem to have the same addictive appeal.  Only the chicken.<br /><br />We have a lot of fun giving them to our cat, and you probably will too."
397680,B001EYUE5M,ABYVECXXSP6R5,Lapimienta,0,0,5,1280707200,Excellent-love it!,"This is the best k-cup coffee I've had.  Its bold smooth flavor is great for bkfst, but just as good to enjoy w/desserts or an afternoon pick-me-up.  I love it!"
330884,B007CJT7VU,A3MTNCOCES34T8,Stickwithnick,0,0,5,1350432000,Wilsonara Finial Fire orchids The Orchid Gallery,"All three plants were well packed for shipping and arrived in excellent shape.  Media was fresh bark and The Orchid Gallery took special care to ""seal"" it in the pots for shipment.  Plants were exactly as described in the ad, all with a healthy new growth, and I look forward to their fiery red flowers on the next blooming cycle."
116590,B002YJ0118,A1YURCSJHDUO5N,"Shopping Mom ""librarian""",0,0,5,1262217600,Movie Popcorn at Home! YUM!,"Got a popcorn cart for Christmas and I have been trying to tweak my popcorn proportions. NO need with these packs! They make delicious batches of popcorn that taste just like the theater! Delicious and perfect!<br /><br />(I do find them to be salty, so I cut a slit in the center seasoning section and pour out some of the seasoning before dumping all the kernels, seasoning and oil into the kettle. It comes out just right for us.)"
546861,B0018CEABE,A3OSW0LI353F2X,Basset lover,1,2,4,1304812800,I ordered this for the benefit of my allergy dog.,"It just came in, and to my disappointment, it contains barley...which she is allergic to.  That is NOT on the ingredient list, so beware.  Fortunately my other dog can eat this.<br /><br />Amazon, please keep the ingredients up to date!"
401685,B005WXAADW,A32VHJ1J6LIF6G,LAB,1,1,5,1325808000,It keeps my cat healthy,I buy this 7.7 lb. bag from my vet for $35.00 and don't have to wait for it to be delivered.  Check with your vet first.
203520,B000CQC04Q,A2I251JTD07Q5Y,"A. Campbell ""trying to do it all""",1,1,5,1307664000,Great tea,I drank this tea when my baby started to sleep through the night however I could not sleep. I love the way it relaxed me. Great tea and I love that I did not have to add any sugar to it.
512031,B000BIQLL8,A2H43DXUXC2CU1,janette,0,0,4,1220400000,"easy to make, a bit salty","This is good for a powdered product. I prefer the separate soybean paste with a packet of dried seaweed & tofu, but this has a good flavor. A bit salty for my taste."
305266,B005PIJQC0,A3FABTXTZJ2ZN7,Fryday17,0,0,5,1312329600,Great value!,"Great product, excellent value. I was buying this in much smaller containers for more expensive. So glad I found this! Thanks Amazon!"
447443,B000E1FXNY,A2FVG91156DX2V,wadetheskyman,0,0,5,1295568000,It doesn't get any better than this!,"I have been passionate about custard, specifically this custard, since I was a small boy. When they quite marketing this in grocery stores, I wrote to the Jello company and inquired. I am so grateful to have found it on Amazon.com and it was at a good price value as well. It was delivered as promised and I couldn't be happier."
101030,B0014B0HWK,A23LSQMKWU1B00,A. Davis,0,0,2,1345593600,I liked it at first...,"The first box I ever bought was good. The tea, to me, tasted better cold than hot so I would make an ice tea of it and refrigerate it until I wanted it. The last few boxes I bought, however, were awful. I would boil the water and steep it and the tea would make this oily film over the top. It would just float and wasn't tasty to drink. I know sometimes plants have oils in them but this was excessive and killed the flavor. Not buying this brand again."
221074,B001EO5L46,A2LYEMVJNK79SV,5Blessings,0,0,5,1215475200,Great treat for kids,"These lollipops are so good, very tart, tangy and full of lemon flavor.  I mainly love these pops for what's NOT in them:  all the junk found in other kids candy.  I think $20 for all these lollipops is a great deal..4 big bags.  We love Yummy Earth!"
510635,B000NO943C,A2U8W57C15G243,"Janice Moss ""msprissysmom""",1,2,1,1341100800,Smoke Paprika,"My mother uses it for allot of dishes, but this particular one, doesn't compare to anything she had.  It is now being used for a decoration on the spice shelf and I will never use it and ruin a dish again. I have tried using just a little bit, thinking it was stronger than her's. And I am a decent cook. But this does not taste like the smoke paprika that I have had in the past.  Sorry I don't recommend this product at all."
239289,B001F1SAPA,A299S2YZA067T0,"Janice Walton ""mystery lover""",0,0,1,1350000000,Terrible Tasting for me,"The Teechino Caffeine-Free Herbal Coffee, Mediterranean Vanilla Nut tasted undrinkable to me. It lacked a deep, full-bodied flavor, which Cafix and Pero coffee-like substitute products have. I wanted to try something new, and for me, this substitute coffee drink wasn't my favorite."
73773,B003AOINH0,A3ELRAF4T7LT3S,"David J. Hess ""the dude and dudette""",3,3,4,1296777600,Yummy,"Being pregnant I somehow decided that I absolutely needed a snow cone machine. Watermelon is my favorite flavor so I bought this gallon size to last the summer. Have to say that I love making snow cones with this flavor. When I first opened it up and smelled it I thought it was cough syrup. Luckily, when mixed with the ice that smell goes away and you get that watermelony flavor. I would buy this again."
5434,B003AO5QZW,A3GJIWXAK9EEGY,"CraigInDallas ""CraigInDallas""",1,1,1,1275091200,"Very Weak Flavor, Definately NOT Watermelon","Received 6 bottles of concentrate from Paragon. Mixed EXACTLY to their specs., and was extremely disappointed in four of the six flavors.<br /><br />I am truly saddened to have to encourage you to NOT purchase the Watermelon flavor.<br /><br />This item has be returned for a refund."
55270,B004650TGU,A2U3JAWCZ0BEWA,jbj,0,0,5,1334534400,great,"Not easy to fine. When I DO IT'S great. I love a stronger coffee, tullys kona is the best sooooooooooooooooooo good."
95919,B002SSIQZI,A2CE0GH9G6IKJE,Melissa,1,1,5,1319328000,helped our cat with ear infections,"One of our cats had suffered from constant yeast infections in his ear since he was a kitten.  We switched their food to this product, and now we can touch his ears without him violently shaking his head.  He doesn't have black goop building up in his ears a week after we clean them.  I would definitely recommend this for a pet that is having problems that you suspect might be related to food allergies.  We also feed them the same brand of wet food, and the allergic cat is fine with that as well."
80207,B000J2JKGO,AOYTZRZ3IKQJM,Justme36330,1,1,5,1283817600,Great !,"My three dogs like it a lot, and my problem dogs skin has improved dramatically.<br />His hair his growing back and his skin is not red and itchy anymore. I'vebtried the ""Blue"" dogfood and it didn't work at all."
193640,B005IW4WFY,A2R1HAXRNU0QX7,RMurray847,0,0,3,1323993600,Not my favorite,"I'm not a granola expert of fanatic, but I thought I might enjoy this product more because I like blueberry and vanilla.<br /><br />When I opened it, it smelled musty, like a year-old box of cereal.  I found that very odd, but plunged ahead anyway.  It was disappointing, because I picked up on pretty much no blueberry flavor (or blueberries, for that matter).  It tasted like really dense granola.  From a pure flavor and eating enjoyment aspect, I did not really care for it.<br /><br />From a health standpoint, this product is free of everything ""bad"" and full of ""good stuff""...heavy on flax.  I'm not a health food fanatic, so again, this was lost on me.  But my son, age 24, really seemed to enjoy it.  He's much more attentive to what he consumes, and I think he liked the taste as well.  He ended up being the only consumer of this product.  (My wife liked it less than me.)<br /><br />I have to conclude, based on the non-scientific study of my family, that this product appeals to folks accustomed to more ""healthy"" snack foods...and not folks like me who have no problem with more ""commercial, processed"" snacks.  I had hoped that KIND would be both tasty and healthy...but it fell short.  I'd be a two-star reviewer...my son would be 4...so I'm splitting the difference."
372543,B0083T6HC0,A2D278XR2DR3IN,Brent Fontes,0,0,5,1338508800,Nice variety,"Price wise it seems a pretty good value for a sampler.  Sampler packs usually cost more per cup than single flavor packs but I'd rather buy an initially more expensive sampler pack than waste alot of money on a single flavor pack and hate it  Actually it is a ""unique"" sampler.  Every k-cup was different and most were from a variety of brands. Use by dates are a good 5-6 months away. They were packaged loosely in a cardboard box and all the cups were intact.  I've found a few already that I'll be ordering later. Donut House Cinnamon Roll coffee and Barista Prima Italian Roast were quite good for their categories so far."
112543,B003OZX4ME,AJUHWR2ODJJJV,darthbagel,0,0,5,1328486400,very good,this is highly recommended..i was alittle wary but after tasting this i was sold.i could see myself buying this again.
97739,B0028620AC,AZGW7U79Y4HAO,E. Lee,1,1,2,1277251200,buyer beware,"so after seeing the great sale price ($30 value for $10) and reading the item title (12 pk- 2 pack), i assumed i was getting a total of 24 meals (12 pack x 2).  since this item runs about $1.10 at target normally. BUT, after place my order i only received 1x12 pack per order.  so the savings are not worth it, esp after adding in the shipping fees from petco. you are much better off just paying the normal retail price at target."
175211,B002EDGYN8,A1RIBL5O4ZJ0CE,Doggielover89,0,0,5,1341360000,Brings my childhood back.,"I love the taffy cookies and so does all my family, these were always our summer time cookies. I have missed this so much and around where I live I can't find them in stores so I am thrilled that amazon sells these. They arrived in great condition and were well packaged. And I love getting four packs at once because then I don't have to order as often. Although our first order went pretty fast since we haven't had them in so many years. My mom doesn't order groceries from amazon so I did it for her and she was so happy I did. We love taking this on our boat and hitting the lake. Thank you amazon!"
12382,B000F5429A,A21ACKP1NWDCDJ,"BJW ""Passionate Reader""",0,0,2,1344470400,"Candy good, reaction bad","Well, I love hard candies, but not the sugar. My husband & I saw these and thought we'd found the perfect solution. Unfortunately, the candies -- while very tasty -- played havoc with our systems. We couldn't eat more than 8 at one time (5 for me) without getting crampy & gaseous. At first we didn't realize it was the candies causing the effect, but that changed quickly. We had to discard the rest of the product. What a shame."
234306,B001EJN8IC,A3NID9D9WMIV01,"Louie Arrighi ""Lou da Joo""",2,2,5,1289433600,best tasting protein yet,"<span class=""tiny""> Length:: 0:35 Mins<br /><br /></span>"
212190,B000CNB4LE,A2IKJOWWIYVAXF,"G. Fox ""Seeker""",8,11,1,1274572800,I don't know how they managed to ruin this product.,The old Zico was delightful.  This new version is so aweful as to be totally undrinkable.  I am now watering my plants with it.  How did they manage to ruin a parfeclty good product. Is Zico now owned by Pepsico?
99050,B003VIWN1W,A2HGH80EGNOO1I,Think About It,0,0,5,1299974400,Dogs can't wait!,My two dogs love this; they bark while I'm getting it ready and then woof it down! It looks good and smells good too.
